Governorate,Total_Population,Rural_Total,Urban_Total
Cairo,10427030,0,10427030
Alexandria,5634723,113024,5521699
Port Said,799949,0,799949
Suez,808204,0,808204
Damietta,1645864,977863,668001
Daqahlia,7180931,5022065,2158866
Sharqia,8101175,5937956,2163219
Qalyoubeua,6267715,3578015,2689700
Kafr El Sheikh,3802762,2881197,921565
Gharbia,5541092,3855078,1686014
Monofia,4847520,3789218,1058302
Beheira],7058007,5592900,1465107
Ismailia,1491299,790522,700777
Giza,9754127,3954756,5799371
Beni Suef,3710369,2776301,934068
Fayoum,4207869,3255649,952220
Minya,6563077,5319392,1243685
Assyut,5249756,3816688,1433068
Sohag,5937939,4672905,1265034
Qena,3764791,3076322,688469
Aswan,1704974,921085,783889
Luxor,1445111,828245,616866
Red Sea,417516,12951,404565
New Valley,274623,135704,138919
Matrouh,584973,197043,387930
North Sinai,525639,205337,320302
South Sinai,121261,52785,68476
Total,107868296,61763001,46105295
